figure,panel,figure_title,panel_legend,availability_note,panel_source_data_files,panel_code_files,figure_level_source_data_dir,figure_level_code_dir,original_source_dirs,original_code_dirs
Figure 8,e,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.",Somatic SASP-like program score in GSE149512. Elevated SASP-like activity supports recurrent stress/senescence-associated remodeling across disease contexts.,available; Direct GSE149512 cell-level scores and cell-level MWU p-values are available.,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/source_data/figure8_source_data__SupFig9E_SASP_cells.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/source_data/figure8_source_data__SupFig9E_SASP_donor_summary.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/source_data/figure8_source_data__SupFig9E_SASP_pvalues.csv,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/code/figure8_code__README.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/code/figure8_code__README_current_numbering.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/code/figure8_code__fig8_plot_panels_from_source_data.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/code/figure8_code__supfig9_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_E/code/figure8_code__supfig9_source_data.py,latest_figure_panel_data_code_20260604/Figure_8/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_8/figure_level_code,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code
Figure 8,f,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.",Sertoli blood–testis barrier integrity score in GSE149512. Disease-associated reduction of BTB-associated programs supports compromised tubular barrier features in external data.,available; Direct GSE149512 cell-level scores and cell-level MWU p-values are available.,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/source_data/figure8_source_data__SupFig9F_BTB_cells.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/source_data/figure8_source_data__SupFig9F_BTB_donor_summary.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/source_data/figure8_source_data__SupFig9F_BTB_pvalues.csv,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/code/figure8_code__README.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/code/figure8_code__README_current_numbering.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/code/figure8_code__fig8_plot_panels_from_source_data.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/code/figure8_code__supfig9_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_F/code/figure8_code__supfig9_source_data.py,latest_figure_panel_data_code_20260604/Figure_8/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_8/figure_level_code,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code
Figure 8,g,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.","Germ-cell apoptosis score in GSE149512. Increased apoptotic signaling in germ cells, particularly in severe disease contexts, supports propagation of niche and metabolic stress into the germline compartment.",available; Direct GSE149512 cell-level scores and cell-level MWU p-values are available.,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/source_data/figure8_source_data__SupFig9G_GermApoptosis_z_cells.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/source_data/figure8_source_data__SupFig9G_GermApoptosis_z_donor_summary.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/source_data/figure8_source_data__SupFig9G_GermApoptosis_z_pvalues.csv,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/code/figure8_code__README.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/code/figure8_code__README_current_numbering.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/code/figure8_code__fig8_plot_panels_from_source_data.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/code/figure8_code__supfig9_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_G/code/figure8_code__supfig9_source_data.py,latest_figure_panel_data_code_20260604/Figure_8/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_8/figure_level_code,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code
Figure 8,h,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.",Donor-level relationship between Sertoli lactate export and germ-cell lactate uptake/oxidation in GSE149512. Weak coupling indicates that Sertoli metabolic output does not necessarily translate into germ-cell substrate utilization. Spearman correlation statistics are shown.,available; H donor-level table is directly available in external-validation metabolic uncoupling bundle.,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HJ_correlation_summary.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_cell_scores_raw.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_cell_scores_with_metadata.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_direct_donor_table.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_donor_metrics.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_group_mwu_pvalues.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_matrix_scoring_runtime.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_raw_matrix_registry.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_signature_gene_sets_long.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9HK_source_note.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/figure8_source_data__SupFig9H_coupling_scatter_donor_points.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/raw_support__SupFig9HK_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/raw_support__SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/raw_support__SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.xlsx; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/raw_support__SupFig9HK_GSE149512_metabolic_uncoupling_panelsCD_pvalues.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/raw_support__SupFig9HK_Germ_Lactate_Uptake_Oxidation_Score.csv; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/source_data/raw_support__SupFig9HK_ST_Lactate_Production_Export_Score.csv,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/code/figure8_code__README.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/code/figure8_code__README_current_numbering.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/code/figure8_code__fig8_plot_panels_from_source_data.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/code/figure8_code__supfig9_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_H/code/figure8_code__supfig9_source_data.py,latest_figure_panel_data_code_20260604/Figure_8/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_8/figure_level_code,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code
Figure 8,i,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.",Group-wise distribution of z-scored Sertoli lactate export in GSE149512.,available; I donor-level table is directly available in external-validation metabolic uncoupling bundle.,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_I/source_data/figure8_source_data__SupFig9I_st_lactate_export_by_group.csv,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_I/code/figure8_code__README.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_I/code/figure8_code__README_current_numbering.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_I/code/figure8_code__fig8_plot_panels_from_source_data.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_I/code/figure8_code__supfig9_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_I/code/figure8_code__supfig9_source_data.py,latest_figure_panel_data_code_20260604/Figure_8/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_8/figure_level_code,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code
Figure 8,j,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.","Association between the metabolic uncoupling index and post-meiotic output. The uncoupling index is defined as Sertoli lactate export minus germ-cell lactate uptake/oxidation. Higher uncoupling is associated with reduced spermatid fraction among germ cells, indicating that metabolic mismatch predicts impaired post-meiotic production. Spearman correlation statistics are shown.",available; J donor-level table is directly available; figure annotation p-value uses Normal vs Azoospermia MWU from the same table.,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_J/source_data/figure8_source_data__SupFig9J_uncoupling_vs_postmeiotic.csv,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_J/code/figure8_code__README.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_J/code/figure8_code__README_current_numbering.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_J/code/figure8_code__fig8_plot_panels_from_source_data.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_J/code/figure8_code__supfig9_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_J/code/figure8_code__supfig9_source_data.py,latest_figure_panel_data_code_20260604/Figure_8/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_8/figure_level_code,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code
Figure 8,k,"Independent cohorts validate late-meiotic divergence, somatic niche remodeling, and metabolic uncoupling.","Group-wise distribution of z-scored germ-cell lactate uptake/oxidation in GSE149512. For panels b–g and i,k, violin or box plots show group-level distributions as indicated; statistical significance is annotated in the panels.",available; K donor-level table is directly available in external-validation metabolic uncoupling bundle.,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_K/source_data/figure8_source_data__SupFig9K_germ_uptake_by_group.csv,latest_figure_panel_data_code_20260604/Figure_8/panels/panel_K/code/figure8_code__README.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_K/code/figure8_code__README_current_numbering.txt; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_K/code/figure8_code__fig8_plot_panels_from_source_data.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_K/code/figure8_code__supfig9_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_8/panels/panel_K/code/figure8_code__supfig9_source_data.py,latest_figure_panel_data_code_20260604/Figure_8/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_8/figure_level_code,current_source_data_20260602/figure8_source_data,current_source_data_20260602/figure8_code
Figure 9,a,Leydig-cell ablation induces persistent local niche dysfunction despite systemic testosterone rescue.,"Experimental design of the EDS-induced Leydig-cell ablation and testosterone-rescue model. Mice were assigned to vehicle, EDS, or EDS plus testosterone replacement groups. Leydig-cell ablation was assessed at day 3 using CYP11A1, Sertoli dysfunction and blood–testis barrier (BTB) damage were assessed at day 7 using AMH and CLDN11, and late spermatocyte/round spermatid impairment was assessed at day 14 using SYCP3.",Experimental-design schematic; animal metadata table was not located in the workspace.,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_A/source_data/figure9_source_data__Fig9_file_mapping.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_A/source_data/figure9_source_data__Fig9_image_file_registry.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_A/source_data/figure9_source_data__Fig9_panels_data_availability.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_A/source_data/figure9_source_data__Fig9_raw_quantification_template.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_A/source_data/figure9_source_data__README.txt,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_A/code/figure9_code__build_figure9_source_data.py,latest_figure_panel_data_code_20260604/Figure_9/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_9/figure_level_code,current_source_data_20260602/figure9_source_data,current_source_data_20260602/figure9_code
Figure 9,b,Leydig-cell ablation induces persistent local niche dysfunction despite systemic testosterone rescue.,"Representative immunofluorescence staining of CYP11A1, WT1/DHH, CYP11A1/GAS1, AMH, CLDN11, and SYCP3 in testes from vehicle, EDS, and EDS+T groups. CYP11A1 marks Leydig cells, WT1 marks Sertoli cells, DHH represents Sertoli-side Hedgehog ligand signal, GAS1 represents Leydig-side Hedgehog receptor/co-receptor signal, AMH indicates Sertoli regression or dysfunction, CLDN11 marks BTB-associated tight junctions, and SYCP3 marks meiotic spermatocytes. Nuclei were counterstained with DAPI. Scale bars are indicated in the images.",Representative IF panel; raw microscopy files/channel metadata were not located. Quantified measures should be supported by panel c/e source data.,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_B/source_data/figure9_source_data__Fig9_file_mapping.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_B/source_data/figure9_source_data__Fig9_image_file_registry.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_B/source_data/figure9_source_data__Fig9_panels_data_availability.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_B/source_data/figure9_source_data__Fig9_raw_quantification_template.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_B/source_data/figure9_source_data__README.txt,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_B/code/figure9_code__build_figure9_source_data.py,latest_figure_panel_data_code_20260604/Figure_9/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_9/figure_level_code,current_source_data_20260602/figure9_source_data,current_source_data_20260602/figure9_code
Figure 9,c,Leydig-cell ablation induces persistent local niche dysfunction despite systemic testosterone rescue.,"Quantification of CYP11A1-positive interstitial cells across treatment groups. EDS markedly reduced CYP11A1-positive Leydig cells, confirming efficient Leydig-cell ablation. Testosterone replacement did not restore CYP11A1-positive Leydig-cell abundance to vehicle levels.",CYP11A1-positive cell quantification requires animal/sample-level cell-count or density data; current workspace has a fill-in template only.,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_C/source_data/figure9_source_data__Fig9_file_mapping.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_C/source_data/figure9_source_data__Fig9_image_file_registry.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_C/source_data/figure9_source_data__Fig9_panels_data_availability.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_C/source_data/figure9_source_data__Fig9_raw_quantification_template.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_C/source_data/figure9_source_data__README.txt,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_C/code/figure9_code__build_figure9_source_data.py,latest_figure_panel_data_code_20260604/Figure_9/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_9/figure_level_code,current_source_data_20260602/figure9_source_data,current_source_data_20260602/figure9_code
Figure 9,d,Leydig-cell ablation induces persistent local niche dysfunction despite systemic testosterone rescue.,"Serum testosterone levels across vehicle, EDS, and EDS+T groups. EDS depleted circulating testosterone, whereas testosterone replacement restored serum testosterone to near-vehicle levels, separating systemic androgen rescue from structural recovery of the Leydig-cell compartment.","Serum testosterone quantification requires hormone assay output with animal IDs, group, value, unit and batch; current workspace has a fill-in template only.",latest_figure_panel_data_code_20260604/Figure_9/panels/panel_D/source_data/figure9_source_data__Fig9_file_mapping.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_D/source_data/figure9_source_data__Fig9_image_file_registry.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_D/source_data/figure9_source_data__Fig9_panels_data_availability.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_D/source_data/figure9_source_data__Fig9_raw_quantification_template.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_D/source_data/figure9_source_data__README.txt,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_D/code/figure9_code__build_figure9_source_data.py,latest_figure_panel_data_code_20260604/Figure_9/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_9/figure_level_code,current_source_data_20260602/figure9_source_data,current_source_data_20260602/figure9_code
Figure 9,e,Leydig-cell ablation induces persistent local niche dysfunction despite systemic testosterone rescue.,"Integrated quantification summary of local niche and germline readouts. Values for DHH, GAS1, AMH, CLDN11, and SYCP3 were normalized to the vehicle mean for each metric. DHH and GAS1 summarize the Sertoli–Leydig Hedgehog axis, AMH and CLDN11 summarize Sertoli/BTB integrity, and SYCP3 summarizes meiotic germ-cell support. Small points represent individual animals or biological replicates, and large points indicate group means. The dashed vertical line denotes the vehicle-normalized baseline. V–E, Vehicle versus EDS; V–T, Vehicle versus EDS+T; E–T, EDS versus EDS+T. Statistical significance was determined by one-way ANOVA followed by Tukey’s multiple-comparison test.","Integrated DHH/GAS1/AMH/CLDN11/SYCP3 quantification requires ROI/image-level fluorescence, CLDN11 continuity and SYCP3 measurements; current workspace has a fill-in template only.",latest_figure_panel_data_code_20260604/Figure_9/panels/panel_E/source_data/figure9_source_data__Fig9_file_mapping.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_E/source_data/figure9_source_data__Fig9_image_file_registry.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_E/source_data/figure9_source_data__Fig9_panels_data_availability.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_E/source_data/figure9_source_data__Fig9_raw_quantification_template.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_E/source_data/figure9_source_data__README.txt,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_E/code/figure9_code__build_figure9_source_data.py,latest_figure_panel_data_code_20260604/Figure_9/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_9/figure_level_code,current_source_data_20260602/figure9_source_data,current_source_data_20260602/figure9_code
Figure 9,f,Leydig-cell ablation induces persistent local niche dysfunction despite systemic testosterone rescue.,"Working model summarizing the functional consequence of Leydig-cell ablation. EDS induces Leydig-cell loss and androgen decline, followed by reduced Leydig-side Hedgehog receptor competence, Sertoli dysfunction, CLDN11 disorganization, and late spermatocyte/round spermatid impairment. Testosterone replacement restores systemic androgen levels and partially improves downstream Sertoli/BTB and germline phenotypes, but it does not restore Leydig-cell abundance or fully recover local Sertoli–Leydig niche communication. Bars represent mean ± SEM; dots indicate individual animals or biological replicates. ns, not significant; *P < 0.05; **P < 0.01; ***P < 0.001; ****P < 0.0001. EDS, ethane dimethanesulfonate; EDS+T, EDS plus testosterone replacement; LC, Leydig cell; BTB, blood–testis barrier; DHH, Desert Hedgehog; T, testosterone; late-SPC, late primary spermatocyte.","Mechanistic summary model; no numeric source data expected, but claims should cite the raw measurements for panels c-e.",latest_figure_panel_data_code_20260604/Figure_9/panels/panel_F/source_data/figure9_source_data__Fig9_file_mapping.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_F/source_data/figure9_source_data__Fig9_image_file_registry.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_F/source_data/figure9_source_data__Fig9_panels_data_availability.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_F/source_data/figure9_source_data__Fig9_raw_quantification_template.csv; latest_figure_panel_data_code_20260604/Figure_9/panels/panel_F/source_data/figure9_source_data__README.txt,latest_figure_panel_data_code_20260604/Figure_9/panels/panel_F/code/figure9_code__build_figure9_source_data.py,latest_figure_panel_data_code_20260604/Figure_9/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_9/figure_level_code,current_source_data_20260602/figure9_source_data,current_source_data_20260602/figure9_code
Supplementary Figure 1,a,Marker-based annotation and functional enrichment support major germline and somatic lineage definitions in the integrated human testis atlas.,UMAP feature plots showing normalized expression of representative genes used to annotate major testicular lineages and germline developmental stages. Sertoli cells are marked by BEX1 and WT1; endothelial cells by PECAM1 and CDH5; Leydig cells by INSL3 and IGF1; myeloid cells by CD163 and CD14; peritubular myoid cells by FAM129A and ACTA2; SSC/progenitor states by UTF1 and PIWIL4; spermatogonia by MKI67 and STRA8; early primary spermatocytes by DMC1 and BRCA1; late primary spermatocytes by PSMC3IP and AURKA; and spermatids by PRM2 and SPEM1. Color intensity indicates normalized expression.,,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_A/source_data/supfig1_source_data__SupFig1A_featureplot_long.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_A/source_data/supfig1_source_data__SupFig1A_missing_markers.csv,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_A/code/supfig1_code__supfig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_A/code/supfig1_code__supfig1_plot.R; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_A/code/supfig1_code__supfig1_source_data.py,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/figure_level_code,current_source_data_20260602/supfig1_source_data,current_source_data_20260602/supfig1_code
Supplementary Figure 1,b,Marker-based annotation and functional enrichment support major germline and somatic lineage definitions in the integrated human testis atlas.,"Heatmap of selected marker genes across annotated cell populations, together with Gene Ontology enrichment of marker-gene sets. The enrichment terms support lineage identity and biological function, including spermatid differentiation, angiogenesis/endothelial programs, steroid-hormone response, lymphocyte activation, myeloid immune signaling, actin cytoskeleton organization, meiotic cell cycle, RNA splicing, Sertoli-cell metabolic support, sperm motility, fertilization, and cilium movement. Dot size indicates gene ratio, and dot color indicates −log10(P value).",,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/source_data/supfig1_source_data__SupFig1B_GO_top_terms.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/source_data/supfig1_source_data__SupFig1B_heatmap_avgexpr_long.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/source_data/supfig1_source_data__SupFig1B_heatmap_avgexpr_wide.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/source_data/supfig1_source_data__SupFig1B_heatmap_scaled_long.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/source_data/supfig1_source_data__SupFig1B_heatmap_scaled_wide.csv,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/code/supfig1_code__supfig1_from_raw_seurat.R; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/code/supfig1_code__supfig1_plot.R; latest_figure_panel_data_code_20260604/Supplementary_Figure_1/panels/panel_B/code/supfig1_code__supfig1_source_data.py,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/figure_level_source_data,latest_figure_panel_data_code_20260604/Supplementary_Figure_1/figure_level_code,current_source_data_20260602/supfig1_source_data,current_source_data_20260602/supfig1_code
Supplementary Figure 2,a,Diagnosis-stratified germline marker expression and pathway remodeling validate the late-meiotic divergence window.,"Diagnosis-stratified feature plots of canonical meiotic and post-meiotic markers across the re-clustered germline embedding. SYCP3 and PIWIL1 localize to spermatocyte compartments, whereas TNP1 and PRM2 mark post-meiotic spermatid/sperm states. Severe non-obstructive disease shows attenuation or loss of downstream germline programs.",,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_A/source_data/supfig2_source_data__SupFig2A_featureplot_cells.csv,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_A/code/supfig2_code__supfig2_plot.R,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_code,current_source_data_20260602/supfig2_source_data,current_source_data_20260602/supfig2_code
Supplementary Figure 2,b,Diagnosis-stratified germline marker expression and pathway remodeling validate the late-meiotic divergence window.,"Dot plot summarizing expression of SYCP3, PIWIL1, TNP1, and PRM2 across diagnostic groups. Dot size indicates percent expressed, and color indicates average expression.",,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_B/source_data/supfig2_source_data__SupFig2B_dotplot_groups.csv,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_B/code/supfig2_code__supfig2_plot.R,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_code,current_source_data_20260602/supfig2_source_data,current_source_data_20260602/supfig2_code
Supplementary Figure 2,c,Diagnosis-stratified germline marker expression and pathway remodeling validate the late-meiotic divergence window.,"Hallmark pathway enrichment in late primary spermatocytes comparing each disease group with controls. Dot color indicates normalized enrichment score, and dot size indicates −log10(FDR). Disease-associated changes include attenuation of oxidative phosphorylation and remodeling of hypoxia, DNA repair, ROS, cholesterol homeostasis, glycolysis, and proliferative programs.",,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_C/source_data/supfig3_source_data_legacy__SupFig3A_Late_primary_SPCs_GSEA_all.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_C/source_data/supfig3_source_data_legacy__SupFig3A_plot_matrix.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_C/source_data/supfig3_source_data_legacy__SupFig3_file_mapping.csv,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_C/code/supfig3_code_legacy__supfig3_plot_svg.py; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_C/code/supfig3_code_legacy__supfig3_source_data.py; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_C/code/supfig2_code__supfig2_plot.R,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_code,current_source_data_20260602/supfig2_source_data,current_source_data_20260602/supfig2_code
Supplementary Figure 2,d,Diagnosis-stratified germline marker expression and pathway remodeling validate the late-meiotic divergence window.,"Hallmark pathway enrichment in round spermatids comparing disease groups with controls. Post-meiotic disease-associated signatures include enrichment of apoptosis, interferon responses, inflammatory signaling, TNFα/NF-κB signaling, p53 pathway, epithelial–mesenchymal transition, and related stress programs.",,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_D/source_data/supfig3_source_data_legacy__SupFig3B_Round_Spermatids_GSEA_all.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_D/source_data/supfig3_source_data_legacy__SupFig3B_plot_matrix.csv; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_D/source_data/supfig3_source_data_legacy__SupFig3_file_mapping.csv,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_D/code/supfig3_code_legacy__supfig3_plot_svg.py; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_D/code/supfig3_code_legacy__supfig3_source_data.py; latest_figure_panel_data_code_20260604/Supplementary_Figure_2/panels/panel_D/code/supfig2_code__supfig2_plot.R,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Supplementary_Figure_2/figure_level_code,current_source_data_20260602/supfig2_source_data,current_source_data_20260602/supfig2_code
